
data/sprites/items/

bag01.png  bleutailfly; OGA BY 3.0; Stendhal (unused)
twosided_poleaxe.png         David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/

data/sprites/items/book/

book_black.png      bleutailfly; OGA BY 3.0; Stendhal
book_blue.png       bleutailfly; OGA BY 3.0; Stendhal
book_gray.png       bleutailfly; OGA BY 3.0; Stendhal
book_green.png      bleutailfly; OGA BY 3.0; Stendhal
book_purple.png     bleutailfly; OGA BY 3.0; Stendhal
book_red.png        bleutailfly; OGA BY 3.0; Stendhal
book_turquoise.png  bleutailfly; OGA BY 3.0; Stendhal
book_white.png      bleutailfly; OGA BY 3.0; Stendhal
book_yellow.png     bleutailfly; OGA BY 3.0; Stendhal

data/sprites/items/boots/

black_boots.png            David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; edited?
blue_boots.png             bleutailfly; OGA BY 3.0; Stendhal
chain_boots.png            Clint Bellanger, Justin Nichol, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/13879
chaos_boots.png            ScratchIO; CC0; https://opengameart.org/node/108448
darkangels_clan_boots.png  Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal (re-color of elvish_boots)
elvish_boots.png           Groundhug McHampster (h4mt4r0); GPL 2.0+; Stendhal, https://sourceforge.net/p/arianne/patches/271/
golden_boots.png           David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
green_dragon_boots.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
killer_boots.png           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
leather_boots.png          David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
lion_clan_boots.png        David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; edited?
magic_plate_boots.*        Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
mainio_boots.png           ScratchIO; CC0; https://opengameart.org/node/108295
mithril_boots.png          janay; CC BY-SA 3.0; Stendhal  was submitted by tigertoes
red_boots.png              bleutailfly; OGA BY 3.0; Stendhal
shadow_boots.png           David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
steel_boots.png            David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
stone_boots.png            Daniel Cook; CC BY 3.0; https://lostgarden.home.blog/2006/07/08/more-free-game-graphics/
studded_boots.*            ScratchIO, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/108295
xeno_boots.png             Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/

data/sprites/items/box/

basket.png    Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
present.png   Katie Russell (kymara); GPL 2.0; Stendhal
stocking.png  bleutailfly; OGA BY 3.0; Stendhal

data/sprites/items/cloak/

black_cloak.png         Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
black_dragon_cloak.png  Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
blue_dragon_cloak.png   Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
blue_elf_cloak.png      Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
blue_striped_cloak.*    Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
bone_dragon_cloak.png   Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
chaos_cloak.png         Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
cloak.png               Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
dwarf_cloak.png         Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
elf_cloak.png           Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
elvish_cloak.png        Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
golden_cloak.png        Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
green_dragon_cloak.*    Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
lich_cloak.png          Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
lion_clan_cloak.*       Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
mainio_cloak.png        Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
magic_cloak.*           Dungeon Crawl Stone Soup, bleutailfly; OGA BY 3.0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
mithril_cloak.png       janay; CC BY-SA 3.0; Stendhal  was submitted by tigertoes
red_cloak.png           Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
red_dragon_cloak.png    Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
rift_cloak.png          Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
shadow_cloak.png        Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
stone_cloak.png         Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
vampire_cloak.png       Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
xeno_cloak.png          Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/


data/sprites/items/club/

chaos_hammer.png         David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/ (committed by kymara)
club.png                 Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
club_of_thorns.png       Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
enhanced_mace.png        Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
flail.png                David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_flail.png         David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_hammer.png        David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_mace.png          David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
grand_warhammer.png      David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
hammer.png               David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
ice_grand_warhammer.png  David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; re-worked grand_warhammer
mace.png                 David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
