
data/sprites/items/

bag01.png  bleutailfly; OGA BY 3.0; Stendhal (unused)
carrot_grower.png           Katie Russell (kymara); GPL 2.0; Stendhal
cauliflower_grower.png      Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
chinese_cabbage_grower.png  Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
collard_grower.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
courgette_grower.png        Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
daisies_grower.png          ???; ???; ??? (committed by Astrid Sawatzky: d6e7155)
egg_grower.png              dStulle; CC0; https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg
garlic_grower.png           omero; CC BY-SA 3.0; Stendhal
grapes_grower.png           RedQueen; OGA BY 3.0; Stendhal
kekik_grower.png            ???; ???; ??? (based on kekik.png, committed by kiheru: c058ed6)
leek_grower.png             Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
lilia_grower.png            omero; CC BY-SA 3.0; Stendhal
mandragora_grower.png       omero; CC BY-SA 3.0; Stendhal
onion_grower.png            Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
pansy_grower.png            omero; CC BY-SA 3.0; Stendhal
porcini_grower.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
reindeer_moss_grower.png    tigertoes?; ???; ??? (committed by tigertoes: e7b3dfb)
salad_grower.png            Nadine Schlonies (dine); GPL 2.0; Stendhal (based on food/salad.png, committed by kiheru: 6c0e114)
sclaria_grower.png          ???; ???; ??? (committed by kiheru: c058ed6)
spinach_grower.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
toadstool_grower.png        Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
tomato_grower.png           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
watermelon_grower.png       RedQueen; OGA BY 3.0; Stendhal
wood_grower.png             Katie Russell (kymara); GPL 2.0; Stendhal
zantedeschia_grower.png     omero; CC BY-SA 3.0; Stendhal

data/sprites/items/helmet/

aventail.*                  Gribba, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/169354, https://freesvg.org/vector-image-of-nasal-helmet
black_helmet.*              Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
blue_helmet.png             Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
chain_helmet.png            Clint Bellanger, Justin Nichol, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/13879
chaos_helmet.png            ScratchIO; CC0; https://opengameart.org/node/108448
elvish_hat.*                Jordan Irwin (AntumDluge); OGA BY 3.0; Stendhal
enhanced_golden_helmet.png  David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; edited?
golden_helmet.png           Chrisdesign, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/4338, https://freesvg.org/knight-helmet-vector-image
golden_horned_barbute.*     bogdanco, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/3666, https://freesvg.org/bogdanco-leonidas-helmet
horned_helmet.*             Gribba, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/169354, https://freesvg.org/vector-image-of-nasal-helmet
leather_helmet.png          David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
liberty_helmet.*            David E. Gervais, Jordan Irwin (AntumDeluge); CC BY 3.0; Stendhal, http://pousse.rapiere.free.fr/tome/, https://opengameart.org/node/6622
magic_chain_helmet.png      David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; edited?
mainio_helmet.png           Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
mithril_helmet.png          janay; CC BY-SA 3.0; Stendhal was submitted by tigertoes
red_helmet.png              Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
robins_hat.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
shadow_helmet.png           David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/ committed by Miguel: 3e5e746)
studded_helmet.png          David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; edited?
xeno_helmet.*               Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://github.com/crawl/tiles

data/sprites/items/herb/

arandula.png       Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/50251, https://freesvg.org/nature-in-spring
kekik.png          ???; ???; ??? (committed by danter: 83339fc)
kokuda.png         ???; ???; ??? (committed by danter: 83339fc)
mandragora.png     omero; CC BY-SA 3.0; Stendhal
reindeer_moss.png  tigertoes; CC BY-SA 3.0; Stendhal
sclaria.png        ???; ???; ??? (committed by danter: 83339fc)

data/sprites/items/holiday/

mint.png       ???; ???; ???
ornament.png   ???; ???; ???
ornaments.png  ???; ???; ???

data/sprites/items/jewellery/

blackpearl.png          Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
blackpearlnecklace.png  sunburn; CC BY 3.0; https://opengameart.org/node/3292
carbuncle.png           David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
carbuncle_crystal.png   David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
diamond.*               David E. Gervais, Jordan Irwin (AntumDeluge); CC BY 3.0; http://pousse.rapiere.free.fr/tome/, https://opengameart.org/node/6622 (animation created by AntumDeluge)
emerald.png             David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
emerald_crystal.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
greater_carbuncle.png   David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
greater_emerald.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
greater_sapphire.png    David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
obsidian.png            David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
pearl.png               sunburn; CC BY 3.0; https://opengameart.org/node/3292
pearlnecklace.png       sunburn; CC BY 3.0; https://opengameart.org/node/3292
sapphire.png            David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
sapphire_crystal.png    David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/

data/sprites/items/key/

blue.png       Katie Russell (kymara); GPL 2.0; Stendhal
bronze.png     Katie Russell (kymara); GPL 2.0; Stendhal
brown.png      Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
common.png     Anders Asplund (Danter); GPL 2.0; Stendhal
copper.png     Katie Russell (kymara); GPL 2.0; Stendhal
filigree.png   Katie Russell (kymara); GPL 2.0; Stendhal
gold.png       Katie Russell (kymara); GPL 2.0; Stendhal
green.png      Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
grey.png       Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
iron.png       Katie Russell (kymara); GPL 2.0; Stendhal
lilac.png      Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
lime.png       Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
nalwor.png     ???; ???; ???  (appears to be based on key/common.png, committed by kymara: da7b9d9)
navy.png       Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
orange.png     Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
pink.png       Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
purple.png     Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
rat.png        Anders Asplund (Danter); GPL 2.0; Stendhal
red.png        Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
silver.png     Katie Russell (kymara); GPL 2.0; Stendhal
square.png     ???; ???; ??? (committed by kymara: 830fe05)
turquoise.png  Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)
yellow.png     Katie Russell (kymara); GPL 2.0; Stendhal (appears to be based on key/common.png)

data/sprites/items/legs/

black_legs.png            David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/ (committed by kymara: 775c4eb)
blue_legs.png             bleutailfly; OGA BY 3.0; Stendhal
chain_legs.png            Clint Bellanger, Justin Nichol, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/13879
chaos_legs.png            ScratchIO; CC0; https://opengameart.org/node/108448
dwarvish_legs.*           Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
elvish_legs.png           Clint Bellanger, Justin Nichol, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/13879
golden_legs.png           bleutailfly; OGA BY 3.0; Stendhal
jewelled_legs.png         David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/ modded (committed by kymara: 69cbfee)
leather_legs.png          Clint Bellanger, Justin Nichol, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/13879
magic_plate_legs.*        Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
mainio_legs.png           Clint Bellanger, Justin Nichol, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/13879
mithril_legs.png          janay; CC BY-SA 3.0; Stendhal committed by tigertoes
red_legs.png              bleutailfly; OGA BY 3.0; Stendhal
shadow_legs.png           Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
stone_legs.*              Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
studded_legs.*            Clint Bellanger, Justin Nichol, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/13879
xeno_legs.png             David E. Gervais, bleutailfly; CC BY 3.0; http://pousse.rapiere.free.fr/tome/

data/sprites/items/misc/

bat_entrails.png         Katie Russell (kymara); GPL 2.0; Stendhal
bobbin.png               tigertoes; CC BY-SA 3.0; Stendhal
bulb.png                 omero; CC BY-SA 3.0; Stendhal
canotuna.png             tigertoes; CC BY-SA 3.0; Stendhal
cards.png                Daniel Herding (mort); GPL 2.0; Stendhal
decent_meal.png          omero; CC BY-SA 3.0; Stendhal
dice.png                 Daniel Herding (mort); GPL 2.0; Stendhal
giant_heart.png          Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/291622
lemon.png                omero; CC BY-SA 3.0; Stendhal
leather_thread.png       Jordan Irwin (AntumDeluge); CC0; Stendhal
marbles.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
metal_rod.png            tigertoes; CC BY-SA 3.0; Stendhal
mithril_ring.png         tigertoes; CC BY-SA 3.0; Stendhal
olive_oil.png            omero; CC BY-SA 3.0; Stendhal
pelt.png                 Michael Williams (BizmasterStudios); CC BY 3.0; https://opengameart.org/node/77334
pinto_beans.png          omero; CC BY-SA 3.0; Stendhal
potato.png               omero; CC BY-SA 3.0; Stendhal
rodent_trap.png          Jordan Irwin (AntumDeluge); CC0; from CC0 vector image on openclipart.org
seed.png                 kymara?, kiheru?; ???; ??? (committed by kiheru)
snowglobe.png            tigertoes; CC BY-SA 3.0; Stendhal
suntan_cream.png         David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
teddy.png                Daniel Herding (mort); GPL 2.0; Stendhal
tripe.png                omero; CC BY-SA 3.0; Stendhal
unicorn_horn.png         Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
vampirette_entrails.png  Katie Russell (kymara); GPL 2.0; Stendhal
venom_gland.png          Jordan Irwin; OGA BY 3.0; Stendhal
vinegar.png              omero; CC BY-SA 3.0; Stendhal
virgin_olive_oil.png     tigertoes; CC BY-SA 3.0; Stendhal

data/sprites/items/missile/

dart.png           David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
fire_shuriken.png  David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
poison_dart.png    David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
power_dart.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
shuriken.png       David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
snowballs.png      ???; ???; ??? (committed by Teiv: 97b6528)
vomit.png          gummipferd; ???; ??? (committed by kymara: 10035a5)
wooden_spear.png   Nadine Schlonies (dine); GPL 2.0; Stendhal

data/sprites/items/money/

copper.png  Anders Asplund (Danter); GPL 2.0; Stendhal
gold.png    Anders Asplund (Danter); GPL 2.0; Stendhal
money.psd   Anders Asplund (Danter); GPL 2.0; Stendhal
silver.png  Anders Asplund (Danter); GPL 2.0; Stendhal

data/sprites/items/ranged/

auto_crossbow*.png   Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
composite_bow.png    David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
crossbow.png         David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/, https://opengameart.org/node/6622
hunter_crossbow.png  David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
longbow.png          David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/, https://opengameart.org/node/6622
mithril_bow.png      David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; re-work of longbow by lovepuppet
wooden_bow.png       David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/

data/sprites/items/relic/

amulet.png          juan?; ???; ??? (committed by bleutailfly: d390669)
angel_figurine.png  ???; ???; ??? (committed by laguz: 8584f80)
ankh.png            Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
skull_ring.png      Katie Russell (kymara); GPL 2.0; Stendhal

data/sprites/items/resource/

beeswax.png         Jan Helebrant; CC0; https://freesvg.org/beekeeper-by-juhele
candle.*            liftarn, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/2658
cloth.png           Nadine Schlonies (dine); GPL 2.0; Stendhal
coal.png            Henrique Lazarini (7Soul1); CC0; https://opengameart.org/node/39455
egg.png             dStulle; CC0; https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg (duplicate of items/food/egg.png)
flour.png           Daniel Herding (mort), Nadine Schlonies (dine); GPL 2.0; Stendhal
golden_egg.png      dStulle; CC0; https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg
gold_bar.png        Daniel Herding (mort), Nadine Schlonies (dine); GPL 2.0; Stendhal (based on iron.png)
gold_ore.png        Nadine Schlonies (dine); GPL 2.0; Stendhal
grain.png           Daniel Herding (mort); GPL 2.0; Stendhal
green_egg.png       dStulle; CC0; https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg
horsehair.png       Henrique Lazarini (7Soul1); CC0; https://opengameart.org/node/39455
iron.png            Daniel Herding (mort); GPL 2.0; Stendhal
iron_ore.png        Daniel Herding (mort); GPL 2.0; Stendhal
mithril_bar.png     Daniel Herding (mort); GPL 2.0; Stendhal (based on iron.png)
mithril_fabric.png  tigertoes; CC BY-SA 3.0; Stendhal
mithril_ore.png     Nadine Schlonies (dine); GPL 2.0; Stendhal (based on gold_ore.png)
mithril_thread.png  tigertoes; CC BY-SA 3.0; Stendhal
oil.png             David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
silkgland.png       tigertoes; CC BY-SA 3.0; Stendhal
silkthread.png      tigertoes; CC BY-SA 3.0; Stendhal
sugarcane.png       wmbec7718; ???; ??? (committed by kiheru: 3edcf3d)
wood.png            Daniel Herding (mort); GPL 2.0; Stendhal
wool.png            Nadine Schlonies (dine); GPL 2.0; Stendhal
yarn.png            tiborius; GPL 2.0; Stendhal

data/sprites/items/ring/

antipoison_rings.xcf.bz2  Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/20712
antitoxin_ring.png        Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/20712
antivenom_ring.png        Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/20712
aquamarine-ring.png       Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
emerald-ring.png          Kimmo Rundelin (kiheru), Katie Russell (kymara); CC BY-SA 3.0; Stendhal
engagement_ring.png       Katie Russell (kymara), Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal (based on wedding.png???)
gold-ring.png             Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
imperial_ring*            Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/88263
insulated_ring.png        Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/20712
medicinal_ring.png        Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/20712
placid_ring.png           Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/20712
silver-ring.png           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
turtle_shell_ring.*       Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal
wedding.png               Katie Russell (kymara); GPL 2.0; Stendhal

data/sprites/items/scent/

blue_scent.png    David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_scent.png  David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
green_scent.png   David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
indigo_scent.png  David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
pink_scent.png    David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
red_scent.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/

data/sprites/items/scroll/

ados.*              Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal
balloon.png         bleutailfly; OGA BY 3.0; Stendhal
blank_pet_scroll.*  Kimmo Rundelin (kiheru), bluecarrot16; CC BY-SA 3.0; Stendhal, https://opengameart.org/node/69399
deniran.*           Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal, https://opengameart.org/node/79098
empty.png           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
fado.*              Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal
home.*              Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal
invitation.png      Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
kalavan.*           Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal
kirdneh.*           Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
marked.*            Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal
nalwor.*            Kimmo Rundelin (kiheru), Jordan Irwin (AntumDeluge); CC BY-SA 3.0; Stendhal
ornament.png        ???; ???; ???
rainbow_beans.png   David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
summon.*            Henrique Lazarini (7Soul1), Tuomo Untinen (Reemax), Jordan Irwin (AntumDeluge); CC BY 3.0; https://opengameart.org/node/82869, https://opengameart.org/node/39455
summon_pet.*        Kimmo Rundelin (kiheru), triceratops; CC BY-SA 3.0; Stendhal, https://opengameart.org/node/55254
twilightmoss.png    tigertoes; CC BY-SA 3.0; Stendhal

data/sprites/items/shield/

black_shield.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
blue_shield.png               bleutailfly; OGA BY 3.0; Stendhal
buckler.png                   David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
chaos_shield.png              Cethiel; CC0; https://opengameart.org/node/95987
crown_shield.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
elvish_shield.png             Cethiel; CC0; https://opengameart.org/node/95987
enhanced_lion_shield.png      David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_shield.png             David E. Gervais, bleutailfly; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
green_dragon_shield.*         Kimmo Rundelin (kiheru), Hernandack, Jordan (AntumDeluge); CC BY-SA 3.0; Stendhal, https://opengameart.org/node/91222
ice_shield.png                Megajack64; CC BY 3.0/4.0; https://github.com/arianne/stendhal/issues/265
lich_shield.png               David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; edited?
lion_shield.png               David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
magic_plate_shield.*          Hernandack, Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/91222
mainio_shield.png             ScratchIO, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/97166
mithril_shield.png            tigertoes; CC BY-SA 3.0; Stendhal; from OGA Heather Lee Harvey (Emerald) EmeraldActivities.com & https://opengameart.org/users/emerald
plate_shield.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
red_shield.png                bleutailfly; OGA BY 3.0; Stendhal
shadow_shield.png             Hernandack; CC0; https://opengameart.org/node/91222
skull_shield.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
studded_shield.png            David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
unicorn_shield.png            David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
wooden_shield.png             David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
xeno_shield.png               Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/

data/sprites/items/special/

eggshells.png             dStulle, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg
GM_tokend_bronze.png      Anders Asplund (Danter); GPL 2.0; Stendhal
GM_tokend_gold1.png       Anders Asplund (Danter); GPL 2.0; Stendhal
GM_tokend_gold2.png       Anders Asplund (Danter); GPL 2.0; Stendhal
GM_tokend_old_bronze.png  Anders Asplund (Danter); GPL 2.0; Stendhal
GM_tokend_old_gold.png    Anders Asplund (Danter); GPL 2.0; Stendhal
GM_tokend_old_silver.png  Anders Asplund (Danter); GPL 2.0; Stendhal
GM_tokend_silver.png      Anders Asplund (Danter); GPL 2.0; Stendhal
lucky_charm.*             nicubunu, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/94153, https://freesvg.org/st-patrick01
mithril_clasp.png         tigertoes; CC BY-SA 3.0; Stendhal
mythical_egg.png          dStulle, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://openclipart.org/detail/6695, https://freesvg.org/vector-illustration-of-white-egg

data/sprites/items/sword/

assassin_dagger.png          Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
biting_sword.png             David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
black_dagger.png             Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
black_sword.png              Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
blooddrinker.png             Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
bread_knife.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
broadsword.png               David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
buster.png                   Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); CC0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
chaos_dagger.png             Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
chaos_sword.png              bleutailfly, Katie Russell (kymara); CC BY-SA 3.0; Stendhal
claymore.png                 David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
dagger.png                   Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
dark_dagger.png              Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
demon_fire_sword.png         durkham, Katie Russell (kymara); GPL 2.0+; Stendhal
elvish_sword.*               Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
fire_sword.png               David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_blade.png             David E. Gervais, Jordan Irwin (AntumDeluge); CC BY 3.0; http://pousse.rapiere.free.fr/tome/, https://opengameart.org/node/6622
golden_orc_sword.png         Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
great_sword.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
hell_dagger.png              Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
ice_sword.png                David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
imperator_sword.png          Shaffan, Jordan Irwin (AntumDeluge); CC BY 3.0; https://opengameart.org/node/70367
katana.png                   Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
kilij.png                    durkham; GPL 2.0; Stendhal
knife.png                    thekingphoenix; CC0; https://opengameart.org/node/77305
[l|r]_hand_sword.png         LordNeo, Jordan Irwin (AntumDeluge); CC0; https://opengameart.org/node/11142
magic_sword.png              Kimmo Rundelin (kiheru); CC BY-SA 3.0; Stendhal
nihonto.png                  Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
obsidian_knife.png           David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
orc_sword.png                Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
orcish_sword.png             bleutailfly, Katie Russell (kymara); CC BY-SA 3.0; Stendhal
scimitar.png                 David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622, http://pousse.rapiere.free.fr/tome/
short_sword.png              David E. Gervais; CC BY 3.0; https://opengameart.org/node/6622, http://pousse.rapiere.free.fr/tome/
soul_dagger.*                Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
sword.png                    David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
training_sword.png           Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
vampire_sword.png            Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); CC0; Stendhal, https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
xeno_sword.png               Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/

data/sprites/items/token/

blue_x_token.png            Hendrik Brummermann, Katie Russel (kymara); CC0; Stendhal
darkyellow_round_token.png  Daniel Herding (mort); GPL 2.0; Stendhal
flag.png                    Daniel Herding (mort); GPL 2.0; Stendhal
red_o_token.png             Hendrik Brummermann, Katie Russel (kymara); CC0; Stendhal

